Bait	Prey	Abundance	Z	S	D	WD	WDv2
EBOV_VP35	P11142	44.1666666666667	1.26781743317844	6.64580067912563	6.64580067912563	6.64580067912563	6.64580067912563
EBOV_VP35	P11387	14.3333333333333	1.50057611971518	3.78593889720018	3.78593889720018	3.78593889720018	3.78593889720018
EBOV_VP35	P11498	135.833333333333	-1.01993836627686	11.6547558246981	11.6547558246981	11.6547558246981	11.6547558246981
EBOV_VP35	P11586	3.83333333333333	-1.12712675544708	1.95789002074512	1.95789002074512	1.95789002074512	1.95789002074512
EBOV_VP35	P11940	7.5	1.12729338595011	4.74341649025257	73.9425452631974	92.2629001715025	9.35458419149895
EBOV_VP35	P12956	3.5	1.20111231203878	3.24037034920393	50.5123747214482	62.9196886508462	6.37946047320373
EBOV_VP35	P13010	1.8	1.18661113133642	2.32379000772445	20.9141100695201	26.0580793381194	4.17580596982657
EBOV_VP35	P13639	9.66666666666667	-0.755443646267294	3.1091263510296	3.1091263510296	3.1091263510296	3.1091263510296
EBOV_VP35	P13667	1	0	1.09544511501033	1.2	1.2	1.11221579968266
EBOV_VP35	P13797	2.25	-0.483617205626423	1.5	1.5	1.5	1.5
EBOV_VP35	P14174	2	1.42660830910437	1.4142135623731	1.4142135623731	1.4142135623731	1.4142135623731
EBOV_VP35	P14618	1.6	-1.48064750321122	1.26491106406735	1.26491106406735	1.26491106406735	1.26491106406735
EBOV_VP35	P14866	15.1666666666667	0.839071886674749	4.76969600708473	13.1437366262414	16.0227641661217	6.88463072640028
EBOV_VP35	P14868	1.5	1.40127390611333	2.12132034355964	3.67423461417477	4.57911729455895	2.89721847112311
EBOV_VP35	P15531	1.33333333333333	-1.21655342182906	1.15470053837925	1.15470053837925	1.15470053837925	1.15470053837925
EBOV_VP35	P15880	34.1666666666667	1.34942488376552	5.84522597225006	5.84522597225006	5.84522597225006	5.84522597225006
EBOV_VP35	P16152	9	-0.758107591353082	3	3	3	3
EBOV_VP35	P16402	1	0.678744599795014	1.73205080756888	3	3.84964250505171	2.43567802600495
EBOV_VP35	P16403	7.16666666666667	1.29099444873581	2.67706306736817	2.67706306736817	2.73294524306565	2.73294524306565
EBOV_VP35	P16615	1	-0.0134405688427169	1.73205080756888	1.73205080756888	2.45612768539263	2.45612768539263
EBOV_VP35	P16989	9.5	1.5396346028156	5.33853912601566	83.2195890400812	104.333654141417	10.5784443135691
EBOV_VP35	P17026	2	1.06600358177805	2.44948974278318	38.1837661840736	47.7445500478765	4.84084515312091
EBOV_VP35	P17096	3.5	-0.760633609750714	1.87082869338697	1.87082869338697	1.87082869338697	1.87082869338697
EBOV_VP35	P17480	1	0.597614304667197	1.73205080756888	1.73205080756888	2.24052675931453	2.24052675931453
EBOV_VP35	P17812	3	-1.28725670458289	1.73205080756888	1.73205080756888	1.73205080756888	1.73205080756888
EBOV_VP35	P17844	14.8333333333333	1.85616009442277	3.85140666943045	3.85140666943045	3.85140666943045	3.85140666943045
EBOV_VP35	P18077	13	1.55081952378856	6.2449979983984	97.3498844375277	122.139010720722	12.3837388238343
EBOV_VP35	P18124	28.3333333333333	1.31390826983909	9.21954445729289	143.718474804042	178.890998756577	18.1378528732464
EBOV_VP35	P18583	2.83333333333333	1.84445405522172	2.91547594742265	45.4477722226294	59.517747684416	6.03453588134909
EBOV_VP35	P18621	31	1.31951578419058	5.56776436283002	5.56776436283002	6.12211357436498	6.12211357436498
EBOV_VP35	P18754	1	0.626962328219399	1.4142135623731	1.4142135623731	1.50949005721902	1.50949005721902
EBOV_VP35	P19338	48.3333333333333	1.11319095082756	7.61577310586391	12.0134324820178	14.2849835390148	9.77054557835115
EBOV_VP35	P19388	1.66666666666667	1.10810250268763	2.23606797749979	6.70820393249937	8.37523008626521	3.35270777289926
EBOV_VP35	P20073	1	0.645497224367903	1.22474487139159	1.22474487139159	1.22474487139159	1.22474487139159
EBOV_VP35	P20155	1.33333333333333	-1.41990458561766	1.15470053837925	1.15470053837925	1.15470053837925	1.15470053837925
EBOV_VP35	P20290	2.33333333333333	0.0765775321459465	1.52752523165195	1.52752523165195	1.52752523165195	1.52752523165195
EBOV_VP35	P21741	2.4	1.27129147484008	1.54919333848297	1.54919333848297	1.54919333848297	1.54919333848297
EBOV_VP35	P21796	1	0.408248290463863	1.22474487139159	1.22474487139159	1.22474487139159	1.22474487139159
EBOV_VP35	P22061	29	-0.93475792904051	5.3851648071345	5.3851648071345	5.3851648071345	5.3851648071345
EBOV_VP35	P22087	16	1.19693841434005	4.38178046004133	6.912	8.06640228895822	5.51720280267244
EBOV_VP35	P22102	5	-1.45643816250884	2.23606797749979	2.23606797749979	2.23606797749979	2.23606797749979
EBOV_VP35	P22314	1	-0.920871703787059	1	1	1	1
EBOV_VP35	P22626	7.5	1.39548081428569	2.73861278752583	2.73861278752583	2.73861278752583	2.73861278752583
EBOV_VP35	P23193	2	-0.067358778801799	1.54919333848297	1.69705627484771	1.69705627484771	1.57291066819685
EBOV_VP35	P23246	4.16666666666667	1.33054062883268	2.04124145231932	2.04124145231932	2.04124145231932	2.04124145231932
EBOV_VP35	P23284	35.6666666666667	0.213220887670889	5.97215762238964	5.97215762238964	5.97215762238964	5.97215762238964
EBOV_VP35	P23396	34.3333333333333	1.62054802117615	5.85946527708232	5.85946527708232	5.85946527708232	5.85946527708232
EBOV_VP35	P23528	7.33333333333333	-0.0237209374168344	2.70801280154532	2.70801280154532	2.70801280154532	2.70801280154532
EBOV_VP35	P23588	1	0.408248290463863	1.73205080756888	1.73205080756888	2.29104923379622	2.29104923379622
EBOV_VP35	P23921	1	-0.255811791756432	1.09544511501033	1.09544511501033	1.09544511501033	1.09544511501033
EBOV_VP35	P24666	1	-0.812291420364744	1	1	1	1
EBOV_VP35	P25205	2.66666666666667	-0.971285862357264	1.63299316185545	1.63299316185545	1.63299316185545	1.63299316185545
EBOV_VP35	P25398	23.8333333333333	1.67965067257804	4.88193950529227	4.88193950529227	4.88193950529227	4.88193950529227
EBOV_VP35	P25705	3.33333333333333	-0.255747877301427	1.82574185835055	1.82574185835055	1.82574185835055	1.82574185835055
EBOV_VP35	P25786	1.4	-0.874059686378723	1.18321595661992	1.18321595661992	1.18321595661992	1.18321595661992
EBOV_VP35	P26196	4.83333333333333	1.67684024726945	2.19848432637882	2.19848432637882	2.19848432637882	2.19848432637882
